id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,energy,loudness,mode,decibel_range,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,first_artist,second_artist
5kO4pdTQURl70Nz9qpmbAO,Raat Ke Hamsafar,22.0,335720,0.0,"[""Asha Bhosle"", ""Mohammed Rafi""]","['5as8A4G47Ohu9NSWs3Je8U', '0gXDpqwYNDODn7fB0RDN8J']",1967-12-01,39.4,-13.941,m,,0.036,0.981,0.726,0.201,0.57,103.129,4.0,Asha Bhosle,Mohammed Rafi
29bOAzAR0Ev2UVSa9rkyts,Dum av dig,47.0,224640,0.0,"[""Daniel Adams-Ray""]",['4C86wrjOUfXQDlt6A4oJOC'],2010-01-01,92.5,-5.364,M,,0.141,0.0804,0.0,0.071,0.632,143.094,4.0,Daniel Adams-Ray,
6VKR2KNLWUDkNYNC22mrTX,Cammina Nel Sole,41.0,265773,0.0,"[""Gianluca Grignani""]",['0H1InhXaXQPL1aj0mvHemU'],2008-01-01,61.3,-5.898,M,,0.032,0.232,0.0,0.0901,0.136,141.904,4.0,Gianluca Grignani,
05lJPd4iOHAV2U1bIM1RZm,Train To Nowhere,18.0,132973,0.0,"[""The Champs""]",['3yt4IVDHz0luREG9Uf9xrp'],1958-01-01,42.4,-20.068,m,,0.032,0.6779999999999999,0.335,0.15,0.856,142.041,4.0,The Champs,
2cIGKEmlDwQH8DV2t9xHmM,Прирожденные Убийцы,38.0,138621,1.0,"[""ATL""]",['2n6CVwo43YvjiTgcPxYWrf'],2015-02-11,62.8,-5.17,m,,0.0439,0.41,2.98e-05,0.108,0.295,116.139,4.0,ATL,
2pSccP1kWvZcc9V9vWTfBW,Earth Song - Radio Edit,52.0,301000,0.0,"[""Michael Jackson""]",['3fMbdgg4jU18AjLCKBhRSm'],2003-11-18,41.099999999999994,-7.351,M,,0.0298,0.478,4.2100000000000014e-05,0.0792,0.198,138.291,4.0,Michael Jackson,
76UsyS5qgfUTPfmK7MitEQ,At Sundown,16.0,92187,0.0,"[""Doris Day""]",['3ESG6pj6a0LvUKklENalT6'],Year 1948,,-12.996,m,,0.0587,0.85,2.07e-06,0.316,0.624,141.638,4.0,Doris Day,
0gf9HMeZDXRexbuM5CihZg,MORGENSTERN,57.0,239867,0.0,"[""Rammstein""]",['6wWVKhxIU2cEi0K81v7HvP'],2004-09-27,94.5,-4.833,M,,0.105,0.00234,0.000158,0.0638,0.409,104.971,4.0,Rammstein,
6GMfiXYhCd2rkWhM9AWnLI,Um Bilhete Pra Didi,38.0,172173,0.0,"[""Novos Baianos""]",['2ohBjgFT9V0LRDWO2wF9DJ'],Year 1972,89.2,-7.002999999999999,M,,0.0533,0.135,0.887,0.626,0.936,145.577,4.0,Novos Baianos,
6bYWdnmdsTTKiQWWsQ3ZAB,For Da Brothaz,42.0,225240,0.0,"[""Kool G Rap""]",['099tLNCZZvtjC7myKD0mFp'],1995-09-05,55.39999999999999,-8.402999999999999,m,,0.27,0.204,0.0,0.1,0.951,161.233,4.0,Kool G Rap,
2YxynlRonE4dRxF5dLQKTR,Déšť Má Dovolenou,5.0,158440,0.0,"[""Stanislav Hložek"", ""Petr Kotvald""]","['4j4l5y862CZaGzpPt7ZJR2', '0JaI0aAFEFfEcFk5mLAFbP']",Year 1983,82.6,-8.512,m,,0.226,0.251,0.0,0.212,0.938,164.78099999999995,4.0,Stanislav Hložek,Petr Kotvald
7rqWOBFkB7fGWp4ROyMaHw,Plouă,20.0,178051,0.0,"[""Smiley""]",['3gvNMbcnvmnjGaG6hvJfSH'],2010-04-27,62.0,-6.572,M,,0.0349,0.387,0.0,0.0962,0.645,104.915,4.0,Smiley,
3B1YkbxW3ReAOIu8iSU0w4,The Loveliest Night Of The Year,13.0,173400,0.0,"[""Connie Francis""]",['3EY5DxGdy7x4GelivOjS2Q'],1960-01-01,21.5,-11.253,M,,0.0322,0.939,1.88e-05,0.445,0.118,80.065,3.0,Connie Francis,
4yI8upBCpbRk8eqpd1jDyB,Black Market,32.0,390267,0.0,"[""Weather Report""]",['162DCkd8aDKwvjBb74Gu8b'],Year 1976,70.4,-11.907,m,,0.0382,0.0712,0.334,0.3,0.759,104.961,4.0,Weather Report,
4xboIhX5GOw4tWzXBe12QX,・・・ふたり・・・,28.0,205867,0.0,"[""Anzen Chitai""]",['3EAqVJtaxnPcWYlHXkHcuC'],Year 1984,30.0,-15.492,M,,0.034,0.7440000000000001,0.00329,0.103,0.349,141.32299999999995,4.0,Anzen Chitai,
2YoBY2ZcHo1v9Q4GOpi6LN,Sweet Charity: Big Spender,35.0,217760,0.0,"[""Cy Coleman"", ""Helen Gallagher"", ""Thelma Oliver"", ""Sweet Charity Ensemble"", ""Fred Werner"", ""Sweet Charity Original Broadway Cast""]","['0RRSSYRHmBxQXRGj2KBO8L', '4JTWiRSYQuVttUczW8TEWn', '4u4OGWtaSTDMdkLkVUr6cj', '3fQK33TvOI22tWRkdYtv1l', '6t5ihB20at8H7BcacOU2Ys', '7po62BPOceXuAzRJO1DU92']",Year 1966,18.5,-13.48,m,,0.0957,0.758,0.0,0.331,0.185,88.712,4.0,Cy Coleman,Helen Gallagher
0HHUdBGuEPgSrjvSFYDnuC,Oedipus Rex,20.0,223400,0.0,"[""Tom Lehrer""]",['5iNvbRVX9W8t1RpD2SHpAO'],1959-01-01,60.699999999999996,-15.267,M,,0.903,0.944,0.0,0.901,0.194,117.335,4.0,Tom Lehrer,
6g02Bnyv1OTUS1AfGBhX5A,水色の幻想,16.0,254355,0.0,"[""Junichi Kamiyama""]",['2byv0pUdwKyZu8VxCN5ua4'],1989-07-05,3.34,-21.904,M,,0.0497,0.96,0.79,0.144,0.115,71.194,4.0,Junichi Kamiyama,
6PTWbgRrsNywWKILim2CZ0,Can't Wait to Say I Do,53.0,210785,0.0,"[""KZ Tandingan"", ""TJ Monterde""]","['1mcqfNCReSFxun2vIWvC28', '7LvDTuFCBv08xm6u1pOMK0']",2020-10-09,48.0,-10.858,M,,0.263,0.857,0.00775,0.669,0.4,81.472,4.0,KZ Tandingan,TJ Monterde
7fv9MeRE3219XrJ6oWzzOs,Csárdás,10.0,345067,0.0,"[""Muzsikás""]",['1srmwykd1UV8CfPchovkzL'],Year 1979,48.3,-9.33,M,,0.15,0.321,0.662,0.0697,0.662,155.19299999999996,4.0,Muzsikás,
4lMOE9LCsviRR9wpNfqlYf,A Dream Goes on Forever - 2015 Remaster,29.0,141187,0.0,"[""Todd Rundgren""]",['0Lpr5wXzWLtDWm1SjNbpPb'],Year 1974,41.699999999999996,-10.226,M,,0.0281,0.0915,2.16e-06,0.399,0.8079999999999999,91.736,4.0,Todd Rundgren,
0wt31CWxTBLtG0iEsulID8,海角天涯,24.0,190333,0.0,"[""楊燦明""]",['7wpvykBhIdbCc4cWCDSWfr'],1990-05-01,22.0,-15.63,M,,0.0307,0.0933,0.456,0.302,0.835,110.913,4.0,楊燦明,
1lM4cYuhJHSsDRfD0ZCRN7,你的背包,45.0,238693,0.0,"[""Eason Chan""]",['2QcZxAgcs2I1q7CtCkl6MI'],2013-05-21,55.39999999999999,-7.539,M,,0.0297,0.337,0.000118,0.0878,0.334,125.989,4.0,Eason Chan,
783VSKKMHjpACUC8jn5xpv,Bamse och lejonet - Del.1,37.0,206500,0.0,"[""Bamse""]",['1V95p8oWGxXlpcFRYqXV3w'],2007-05-01,44.6,-11.082,m,,0.953,0.8859999999999999,2.01e-05,0.629,0.6409999999999999,81.06,4.0,Bamse,
0OUhDtP1USi1xTyA9qxbAh,Возле дома твоего,17.0,185652,0.0,"[""Sektor Gaza""]",['4W4XLF8i9cHVqwASg8Kqv6'],Year 1990,65.7,-13.786,M,,0.05,0.63,0.000103,0.149,0.95,108.338,4.0,Sektor Gaza,
131b3KpZBNgnBM6Nrl1nmt,Cervecita Blanca - En Vivo,24.0,114773,0.0,"[""Grupo Alegria""]",['5j0zxJF926wIDiCXMmJGkg'],1996-04-01,74.5,-8.443,M,,0.162,0.414,0.0,0.116,0.931,113.117,4.0,Grupo Alegria,
1oxrpMhHQwSOTXivAJxv2A,Krupa,32.0,375733,0.0,"[""Apollo 440""]",['37f9cjf8Ic4t7vYNRYAzI7'],Year 1997,88.9,-6.54,M,,0.0317,0.00193,0.8640000000000001,0.31,0.165,124.802,4.0,Apollo 440,
5zFRpFMgE8EzI66audLA2O,Beat mort,29.0,257080,0.0,"[""Vita de Vie"", ""Parazitii""]","['5k3WNPoEUg6Z4YNC0DfVNT', '4u0tMvazRUSOlvjqzhyLqF']",2001-01-01,71.7,-9.351,M,,0.171,0.6829999999999999,0.0,0.0463,0.767,87.00399999999998,4.0,Vita de Vie,Parazitii
5y5IGQ133R469OoD3lnm39,Vírgenes del Sol - Remasterizado,0.0,191000,0.0,"[""Francisco Canaro"", ""Charlo""]","['2maQMqxNnlRrBrS1oAsrX9', '3Ry0Bx0jq7Z6nbzTfcsvkL']",1929-11-05,26.0,-13.376,M,,0.0808,0.991,0.528,0.103,0.58,96.332,4.0,Francisco Canaro,Charlo
28XxgF0HzH925GvXADuIit,Target,36.0,66145,0.0,"[""Bacon""]",['2wL2wTES5m7VMe3yZFy0sh'],2000-04-10,19.5,-19.33,M,,0.0507,0.518,0.81,0.0634,0.279,106.01,4.0,Bacon,
4uuwmqHNviPUjaGwayWg6O,You Don't Know (How Much I Love You),6.0,136827,0.0,"[""Thurston Harris""]",['61VpPyyJn2bitby8tbafzT'],1959-03-10,70.3,1.224,M,,0.0273,0.7829999999999999,0.0,0.0509,0.7909999999999999,104.672,3.0,Thurston Harris,
6Hu6dzwlvoyg3zBUC8k4BK,Sailing,71.0,256147,0.0,"[""Christopher Cross""]",['695W5F2Ih8dYahLdjVOIoH'],Year 1979,38.2,-13.203,M,,0.0374,0.364,0.00025,0.36,0.178,149.994,4.0,Christopher Cross,
3mvukb4Mhli3AH0edfWGZB,Higher Vibrations,44.0,252507,0.0,"[""Ziggy Marley & The Melody Makers""]",['3Z2jmNAP2UaGa8lPpi54wD'],1999-07-21,53.79999999999999,-12.299,M,,0.0346,0.233,5.05e-05,0.144,0.74,132.873,4.0,Ziggy Marley & The Melody Makers,
